dataset,algorithm,minsup,minsup_ratio,itemsets,elapsed_seconds,elapsed_ms,output_file,status
retail,basic,882,0.010004310247045213,159,0.30100011825561523,301.00011825561523,Y:\Python\PrePost\outputs\our\retail_basic_minsup882.out,OK
retail,optimized,882,0.010004310247045213,159,0.2650001049041748,265.0001049041748,Y:\Python\PrePost\outputs\our\retail_optimized_minsup882.out,OK
retail,spmf_PrePost,882,0.010004310247045213,159,0.6213708,621.3708,Y:\Python\PrePost\outputs\spmf\retail_spmf_minsup882.out,OK
retail,basic,661,0.007497561307592841,277,0.748999834060669,748.999834060669,Y:\Python\PrePost\outputs\our\retail_basic_minsup661.out,OK
retail,optimized,661,0.007497561307592841,277,0.6970000267028809,697.0000267028809,Y:\Python\PrePost\outputs\our\retail_optimized_minsup661.out,OK
retail,spmf_PrePost,661,0.007497561307592841,277,0.6620955,662.0954999999999,Y:\Python\PrePost\outputs\spmf\retail_spmf_minsup661.out,OK
retail,basic,441,0.0050021551235226065,580,2.6440000534057617,2644.0000534057617,Y:\Python\PrePost\outputs\our\retail_basic_minsup441.out,OK
retail,optimized,441,0.0050021551235226065,580,2.4709999561309814,2470.9999561309814,Y:\Python\PrePost\outputs\our\retail_optimized_minsup441.out,OK
retail,spmf_PrePost,441,0.0050021551235226065,580,0.775071,775.0709999999999,Y:\Python\PrePost\outputs\spmf\retail_spmf_minsup441.out,OK
retail,basic,220,0.0024954061840702342,1891,14.625,14625.0,Y:\Python\PrePost\outputs\our\retail_basic_minsup220.out,OK
retail,optimized,220,0.0024954061840702342,1891,14.759999990463257,14759.999990463257,Y:\Python\PrePost\outputs\our\retail_optimized_minsup220.out,OK
retail,spmf_PrePost,220,0.0024954061840702342,1891,1.2584696,1258.4696,Y:\Python\PrePost\outputs\spmf\retail_spmf_minsup220.out,OK
T10I4D100K,basic,2000,0.02,155,8.591000080108643,8591.000080108643,Y:\Python\PrePost\outputs\our\T10I4D100K_basic_minsup2000.out,OK
T10I4D100K,optimized,2000,0.02,155,8.671000003814697,8671.000003814697,Y:\Python\PrePost\outputs\our\T10I4D100K_optimized_minsup2000.out,OK
T10I4D100K,spmf_PrePost,2000,0.02,155,0.8667286,866.7285999999999,Y:\Python\PrePost\outputs\spmf\T10I4D100K_spmf_minsup2000.out,OK
T10I4D100K,basic,1500,0.015,237,20.412999868392944,20412.999868392944,Y:\Python\PrePost\outputs\our\T10I4D100K_basic_minsup1500.out,OK
T10I4D100K,optimized,1500,0.015,237,20.40400004386902,20404.00004386902,Y:\Python\PrePost\outputs\our\T10I4D100K_optimized_minsup1500.out,OK
T10I4D100K,spmf_PrePost,1500,0.015,237,0.8666352,866.6352,Y:\Python\PrePost\outputs\spmf\T10I4D100K_spmf_minsup1500.out,OK
T10I4D100K,basic,1000,0.01,385,42.54099988937378,42540.99988937378,Y:\Python\PrePost\outputs\our\T10I4D100K_basic_minsup1000.out,OK
T10I4D100K,optimized,1000,0.01,385,42.13100004196167,42131.00004196167,Y:\Python\PrePost\outputs\our\T10I4D100K_optimized_minsup1000.out,OK
T10I4D100K,spmf_PrePost,1000,0.01,385,0.9619722,961.9722,Y:\Python\PrePost\outputs\spmf\T10I4D100K_spmf_minsup1000.out,OK
T10I4D100K,basic,750,0.0075,561,54.676000118255615,54676.000118255615,Y:\Python\PrePost\outputs\our\T10I4D100K_basic_minsup750.out,OK
T10I4D100K,optimized,750,0.0075,561,54.72599983215332,54725.99983215332,Y:\Python\PrePost\outputs\our\T10I4D100K_optimized_minsup750.out,OK
T10I4D100K,spmf_PrePost,750,0.0075,561,1.0459651,1045.9651000000001,Y:\Python\PrePost\outputs\spmf\T10I4D100K_spmf_minsup750.out,OK
T10I4D100K,basic,500,0.005,1073,67.05900001525879,67059.00001525879,Y:\Python\PrePost\outputs\our\T10I4D100K_basic_minsup500.out,OK
T10I4D100K,optimized,500,0.005,1073,66.68799996376038,66687.99996376038,Y:\Python\PrePost\outputs\our\T10I4D100K_optimized_minsup500.out,OK
T10I4D100K,spmf_PrePost,500,0.005,1073,1.0722733,1072.2733,Y:\Python\PrePost\outputs\spmf\T10I4D100K_spmf_minsup500.out,OK
T10I4D100K,basic,250,0.0025,7703,78.59500002861023,78595.00002861023,Y:\Python\PrePost\outputs\our\T10I4D100K_basic_minsup250.out,OK
T10I4D100K,optimized,250,0.0025,7703,78.36399984359741,78363.99984359741,Y:\Python\PrePost\outputs\our\T10I4D100K_optimized_minsup250.out,OK
T10I4D100K,spmf_PrePost,250,0.0025,7703,1.2101769,1210.1769,Y:\Python\PrePost\outputs\spmf\T10I4D100K_spmf_minsup250.out,OK
